"response_id","experienced_maori","travelled_with_child_under_15","travelled_with_other_above_15","drive_yourself","qtr","country_of_residence_group","gender","first_nz_trip","purpose_of_visit_main","no_days_in_nz","age_range","treated_spend","visited_island","spend_per_day"
"GEN24_1013948","Yes","No","Yes","No","1","Americas","Female","Yes","Holiday / vacation",27,37,8515.352167,"North",315.383413592593
"GEN24_1013949","No","No","Yes","Yes","1","Americas","Female","Yes","Visiting friends / relatives",29,32,1291.984467,"North",44.5511885172414
"GEN24_1013951","No","No","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",54,62,4682.577387,"North",86.7143960555556
"GEN24_1013952","No","No","Yes","Yes","1","Europe","Male","Yes","Visiting friends / relatives",22,32,3676.403733,"Both",167.109260590909
"GEN24_1013956","No","No","No","Yes","1","Africa and Middle East","Female","Yes","Visiting friends / relatives",29,57,2865.141333,"North",98.797977
"GEN24_1013964","Yes","No","Yes","No","1","Americas","Female","No","Visiting friends / relatives",18,52,4435.731396,"North",246.429522
"GEN24_1013972","No","No","Yes","Yes","1","Asia","Male","No","Visiting friends / relatives",26,42,2228.369,"North",85.7065
"GEN24_1013990","Yes","No","Yes","Yes","1","Europe","Male","Yes","Visiting friends / relatives",34,10,4050,"North",119.117647058824
"GEN24_1013994","Yes","No","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",23,22,2419.977253,"Both",105.216402304348
"GEN24_1013999","No","No","No","No","1","Asia","Female","No","Visiting friends / relatives",27,67,4742,"South",175.62962962963
"GEN24_1014004","Yes","No","Yes","No","1","Europe","Female","Yes","Visiting friends / relatives",28,62,5964.732667,"Both",213.026166678571
"GEN24_1014007","No","No","Yes","Yes","1","Europe","Female","No","Visiting friends / relatives",18,47,3676.403733,"North",204.244651833333
"GEN24_1014012","Yes","No","Yes","Yes","1","Oceania","Female","No","Visiting friends / relatives",30,37,3280.098507,"Both",109.3366169
"GEN24_1014014","No","No","Yes","Yes","1","Asia","Female","Yes","Holiday / vacation",13,27,5181.8041,"Both",398.600315384615
"GEN24_1014025","No","No","No","Yes","1","Europe","Female","No","Visiting friends / relatives",33,42,2321.9392,"South",70.3617939393939
"GEN24_1014029","No","No","Yes","No","1","Asia","Female","Yes","Visiting friends / relatives",30,37,7862.0476,"Both",262.068253333333
